WEATHER_DATE,WEATHER_HOUR,TEMPERATURE_F,APPARENT_TEMPERATURE_F,PRECIPITATION_INCH,RAIN_INCH,SNOWFALL_INCH,SNOW_DEPTH_INCH,WEATHER_CODE,WEATHER_DESCRIPTION,WIND_SPEED_MPH,WIND_GUSTS_MPH,RELATIVE_HUMIDITY_PCT,VISIBILITY_FT,WEATHER_CATEGORY,IS_ADVERSE_WEATHER
2025-01-01,0,45.6,39.5,0.146,0.146,0.0,0.0,63,Moderate rain,10.7,22.4,94,,Rain,True
2025-01-01,1,46.9,41.8,0.035,0.035,0.0,0.0,53,Moderate drizzle,9.3,23.7,96,,Drizzle,False
2025-01-01,2,47.6,44.7,0.0,0.0,0.0,0.0,3,Overcast,4.8,18.1,97,,Cloudy,False
2025-01-01,3,48.0,45.1,0.0,0.0,0.0,0.0,3,Overcast,5.4,10.1,99,,Cloudy,False
2025-01-01,4,48.0,45.1,0.0,0.0,0.0,0.0,3,Overcast,5.5,10.3,98,,Cloudy,False
2025-01-01,5,47.0,43.5,0.0,0.0,0.0,0.0,3,Overcast,6.2,11.6,99,,Cloudy,False
2025-01-01,6,46.5,41.5,0.0,0.0,0.0,0.0,1,Mainly clear,9.1,18.1,97,,Clear,False
2025-01-01,7,43.9,38.5,0.0,0.0,0.0,0.0,1,Mainly clear,8.6,18.6,96,,Clear,False
2025-01-01,8,41.6,36.0,0.0,0.0,0.0,0.0,0,Clear sky,7.8,17.4,96,,Clear,False
2025-01-01,9,44.6,39.8,0.0,0.0,0.0,0.0,0,Clear sky,7.7,14.8,96,,Clear,False
2025-01-01,10,46.4,41.7,0.0,0.0,0.0,0.0,0,Clear sky,7.6,17.7,92,,Clear,False
2025-01-01,11,48.8,44.6,0.0,0.0,0.0,0.0,0,Clear sky,7.3,17.2,88,,Clear,False
2025-01-01,12,50.6,44.9,0.0,0.0,0.0,0.0,1,Mainly clear,9.6,22.6,76,,Clear,False
2025-01-01,13,51.7,45.6,0.0,0.0,0.0,0.0,2,Partly cloudy,9.8,22.6,69,,Cloudy,False
2025-01-01,14,51.2,43.8,0.0,0.0,0.0,0.0,3,Overcast,12.1,27.3,67,,Cloudy,False
2025-01-01,15,47.1,38.4,0.0,0.0,0.0,0.0,3,Overcast,14.1,32.0,71,,Cloudy,False
2025-01-01,16,43.7,34.2,0.0,0.0,0.0,0.0,2,Partly cloudy,14.4,34.4,70,,Cloudy,False
2025-01-01,17,42.2,32.8,0.004,0.004,0.0,0.0,51,Light drizzle,13.7,35.3,71,,Drizzle,False
2025-01-01,18,41.2,32.0,0.004,0.004,0.0,0.0,51,Light drizzle,12.8,31.3,71,,Drizzle,False
2025-01-01,19,40.6,31.2,0.0,0.0,0.0,0.0,0,Clear sky,12.7,28.9,67,,Clear,False
2025-01-01,20,40.2,30.5,0.0,0.0,0.0,0.0,0,Clear sky,12.7,28.9,63,,Clear,False
2025-01-01,21,41.1,31.1,0.0,0.0,0.0,0.0,0,Clear sky,13.1,29.3,58,,Clear,False
2025-01-01,22,40.0,29.6,0.0,0.0,0.0,0.0,0,Clear sky,13.2,30.0,54,,Clear,False
2025-01-01,23,38.8,28.7,0.0,0.0,0.0,0.0,0,Clear sky,12.2,29.8,53,,Clear,False
2025-01-02,0,38.1,28.3,0.0,0.0,0.0,0.0,0,Clear sky,11.6,27.3,56,,Clear,False
2025-01-02,1,37.5,27.9,0.0,0.0,0.0,0.0,0,Clear sky,11.4,25.9,60,,Clear,False
2025-01-02,2,36.7,26.7,0.0,0.0,0.0,0.0,0,Clear sky,12.0,26.8,58,,Clear,False
2025-01-02,3,35.9,26.0,0.0,0.0,0.0,0.0,0,Clear sky,11.7,27.1,61,,Clear,False
2025-01-02,4,35.3,25.8,0.0,0.0,0.0,0.0,0,Clear sky,11.1,26.4,65,,Clear,False
2025-01-02,5,35.1,25.7,0.0,0.0,0.0,0.0,1,Mainly clear,10.7,24.8,66,,Clear,False
2025-01-02,6,34.5,25.1,0.0,0.0,0.0,0.0,0,Clear sky,10.7,24.2,65,,Clear,False
2025-01-02,7,33.5,23.7,0.0,0.0,0.0,0.0,0,Clear sky,11.4,25.5,65,,Clear,False
2025-01-02,8,32.9,23.3,0.0,0.0,0.0,0.0,0,Clear sky,10.6,25.3,65,,Clear,False
2025-01-02,9,35.7,25.9,0.0,0.0,0.0,0.0,0,Clear sky,11.3,26.2,60,,Clear,False
2025-01-02,10,37.4,27.8,0.0,0.0,0.0,0.0,0,Clear sky,11.2,26.6,59,,Clear,False
2025-01-02,11,39.2,29.6,0.0,0.0,0.0,0.0,0,Clear sky,11.3,25.9,56,,Clear,False
2025-01-02,12,40.5,29.2,0.0,0.0,0.0,0.0,0,Clear sky,14.9,35.6,50,,Clear,False
2025-01-02,13,41.0,29.1,0.0,0.0,0.0,0.0,2,Partly cloudy,16.0,35.8,46,,Cloudy,False
2025-01-02,14,41.5,30.0,0.0,0.0,0.0,0.0,2,Partly cloudy,14.7,36.0,44,,Cloudy,False
2025-01-02,15,41.6,29.7,0.0,0.0,0.0,0.0,2,Partly cloudy,15.4,35.1,40,,Cloudy,False
2025-01-02,16,40.3,29.8,0.0,0.0,0.0,0.0,3,Overcast,12.2,38.7,44,,Cloudy,False
2025-01-02,17,38.3,27.4,0.0,0.0,0.0,0.0,3,Overcast,13.0,29.8,46,,Cloudy,False
2025-01-02,18,36.1,25.6,0.0,0.0,0.0,0.0,1,Mainly clear,12.1,30.0,50,,Clear,False
2025-01-02,19,35.2,25.0,0.0,0.0,0.0,0.0,2,Partly cloudy,11.3,27.5,52,,Cloudy,False
2025-01-02,20,34.5,24.5,0.0,0.0,0.0,0.0,1,Mainly clear,11.1,25.7,54,,Clear,False
2025-01-02,21,35.0,24.3,0.0,0.0,0.0,0.0,2,Partly cloudy,12.5,28.2,52,,Cloudy,False
2025-01-02,22,34.4,24.0,0.0,0.0,0.0,0.0,2,Partly cloudy,11.9,28.2,53,,Cloudy,False
2025-01-02,23,33.4,23.8,0.0,0.0,0.0,0.0,1,Mainly clear,10.0,26.6,57,,Clear,False
2025-01-03,0,32.5,23.3,0.0,0.0,0.0,0.0,0,Clear sky,9.1,22.1,60,,Clear,False
2025-01-03,1,31.7,22.2,0.0,0.0,0.0,0.0,0,Clear sky,9.9,21.5,60,,Clear,False
2025-01-03,2,30.9,20.8,0.0,0.0,0.0,0.0,0,Clear sky,10.8,24.2,57,,Clear,False
2025-01-03,3,30.5,20.3,0.0,0.0,0.0,0.0,0,Clear sky,10.7,25.5,57,,Clear,False
2025-01-03,4,30.2,20.3,0.0,0.0,0.0,0.0,0,Clear sky,10.2,24.4,58,,Clear,False
2025-01-03,5,29.8,20.1,0.0,0.0,0.0,0.0,0,Clear sky,9.6,22.8,59,,Clear,False
2025-01-03,6,29.5,20.3,0.0,0.0,0.0,0.0,0,Clear sky,8.5,21.5,60,,Clear,False
2025-01-03,7,29.2,20.4,0.0,0.0,0.0,0.0,0,Clear sky,7.7,19.2,62,,Clear,False
2025-01-03,8,28.9,20.4,0.0,0.0,0.0,0.0,0,Clear sky,7.1,17.2,65,,Clear,False
2025-01-03,9,31.2,23.0,0.0,0.0,0.0,0.0,0,Clear sky,6.7,14.8,62,,Clear,False
2025-01-03,10,33.0,24.5,0.0,0.0,0.0,0.0,0,Clear sky,7.6,20.1,59,,Clear,False
2025-01-03,11,34.4,25.5,0.0,0.0,0.0,0.0,0,Clear sky,8.6,20.6,56,,Clear,False
2025-01-03,12,36.0,25.9,0.0,0.0,0.0,0.0,1,Mainly clear,11.1,26.4,50,,Clear,False
2025-01-03,13,36.4,26.9,0.0,0.0,0.0,0.0,2,Partly cloudy,9.9,26.4,51,,Cloudy,False
2025-01-03,14,37.4,27.8,0.0,0.0,0.0,0.0,2,Partly cloudy,10.1,24.2,49,,Cloudy,False
2025-01-03,15,37.6,28.1,0.0,0.0,0.0,0.0,1,Mainly clear,9.8,24.4,49,,Clear,False
2025-01-03,16,37.9,28.3,0.0,0.0,0.0,0.0,3,Overcast,9.9,24.4,47,,Cloudy,False
2025-01-03,17,37.4,29.5,0.0,0.0,0.0,0.0,3,Overcast,6.5,25.1,52,,Cloudy,False
