TAXI_TYPE,PICKUP_AT,DROPOFF_AT,PICKUP_YEAR,PICKUP_MONTH,PICKUP_DAYOFWEEK,PICKUP_HOUR,IS_NIGHT,IS_WEEKEND,IS_RUSH_HOUR,TRIP_DURATION_MINUTES,TRIP_DISTANCE,PASSENGER_COUNT,PAYMENT_TYPE,FARE_AMOUNT,EXTRA,MTA_TAX,TIP_AMOUNT,TOLLS_AMOUNT,IMPROVEMENT_SURCHARGE,CONGESTION_SURCHARGE,CBD_CONGESTION_FEE,AIRPORT_FEE,TOTAL_AMOUNT,PICKUP_ZONE_ID,DROPOFF_ZONE_ID,PICKUP_BOROUGH,PICKUP_ZONE_NAME,DROPOFF_BOROUGH,DROPOFF_ZONE_NAME,WEATHER_CATEGORY,IS_ADVERSE_WEATHER,TEMPERATURE_F,PRECIPITATION_INCH,WIND_SPEED_MPH
yellow,2025-01-31 17:51:19,2025-01-31 18:17:21,2025,1,5,17,False,False,True,26,0.0,,Unknown,29.39,0.0,0.5,0.0,0.0,1.0,,0.75,,34.14,163,231,Manhattan,Midtown North,Manhattan,TriBeCa/Civic Center,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:12:33,2025-01-31 17:23:00,2025,1,5,17,False,False,True,11,0.0,,Unknown,8.19,0.0,0.5,0.0,0.0,1.0,,0.75,,12.94,100,246,Manhattan,Garment District,Manhattan,West Chelsea/Hudson Yards,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:09:00,2025-01-31 17:34:00,2025,1,5,17,False,False,True,25,3.52,,Unknown,22.3,0.0,0.5,0.0,0.0,1.0,,0.0,,23.8,218,130,Queens,Springfield Gardens North,Queens,Jamaica,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:20:49,2025-01-31 17:42:08,2025,1,5,17,False,False,True,22,3.1,,Unknown,18.78,0.0,0.5,0.0,0.0,1.0,,0.75,,23.53,113,143,Manhattan,Greenwich Village North,Manhattan,Lincoln Square West,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:40:09,2025-01-31 18:12:56,2025,1,5,17,False,False,True,32,0.0,,Unknown,30.94,0.0,0.5,0.0,0.0,1.0,,0.75,,35.69,239,4,Manhattan,Upper West Side South,Manhattan,Alphabet City,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:22:35,2025-01-31 17:33:40,2025,1,5,17,False,False,True,11,0.0,,Unknown,13.02,0.0,0.5,0.0,0.0,1.0,,0.75,,17.77,234,114,Manhattan,Union Sq,Manhattan,Greenwich Village South,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:22:18,2025-01-31 17:32:52,2025,1,5,17,False,False,True,10,0.0,,Unknown,12.01,0.0,0.5,0.0,0.0,1.0,,0.75,,16.76,234,137,Manhattan,Union Sq,Manhattan,Kips Bay,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:16:32,2025-01-31 17:30:19,2025,1,5,17,False,False,True,14,2.14,,Unknown,15.15,0.0,0.5,0.0,0.0,1.0,,0.75,,19.9,239,230,Manhattan,Upper West Side South,Manhattan,Times Sq/Theatre District,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:54:00,2025-01-31 18:04:00,2025,1,5,17,False,False,True,10,1.53,,Unknown,13.94,0.0,0.5,0.0,0.0,1.0,,0.0,,17.94,239,236,Manhattan,Upper West Side South,Manhattan,Upper East Side North,Drizzle,False,39.8,0.004,3.1
yellow,2025-01-31 17:06:20,2025-01-31 17:22:02,2025,1,5,17,False,False,True,16,1.7,,Unknown,15.09,0.0,0.5,0.0,0.0,1.0,,0.75,,19.84,236,162,Manhattan,Upper East Side North,Manhattan,Midtown East,Drizzle,False,39.8,0.004,3.1
