datetime_local,temperature_f,apparent_temperature_f,precipitation_inch,rain_inch,snowfall_inch,snow_depth_inch,weather_code,weather_description,wind_speed_mph,wind_gusts_mph,relative_humidity_pct,visibility_ft
2025-01-01T00:00,45.6,39.5,0.146,0.146,0.0,0.0,63,Moderate rain,10.7,22.4,94,
2025-01-01T01:00,46.9,41.8,0.035,0.035,0.0,0.0,53,Moderate drizzle,9.3,23.7,96,
2025-01-01T02:00,47.6,44.7,0.0,0.0,0.0,0.0,3,Overcast,4.8,18.1,97,
2025-01-01T03:00,48.0,45.1,0.0,0.0,0.0,0.0,3,Overcast,5.4,10.1,99,
2025-01-01T04:00,48.0,45.1,0.0,0.0,0.0,0.0,3,Overcast,5.5,10.3,98,
2025-01-01T05:00,47.0,43.5,0.0,0.0,0.0,0.0,3,Overcast,6.2,11.6,99,
2025-01-01T06:00,46.5,41.5,0.0,0.0,0.0,0.0,1,Mainly clear,9.1,18.1,97,
2025-01-01T07:00,43.9,38.5,0.0,0.0,0.0,0.0,1,Mainly clear,8.6,18.6,96,
2025-01-01T08:00,41.6,36.0,0.0,0.0,0.0,0.0,0,Clear sky,7.8,17.4,96,
2025-01-01T09:00,44.6,39.8,0.0,0.0,0.0,0.0,0,Clear sky,7.7,14.8,96,
2025-01-01T10:00,46.4,41.7,0.0,0.0,0.0,0.0,0,Clear sky,7.6,17.7,92,
2025-01-01T11:00,48.8,44.6,0.0,0.0,0.0,0.0,0,Clear sky,7.3,17.2,88,
2025-01-01T12:00,50.6,44.9,0.0,0.0,0.0,0.0,1,Mainly clear,9.6,22.6,76,
2025-01-01T13:00,51.7,45.6,0.0,0.0,0.0,0.0,2,Partly cloudy,9.8,22.6,69,
2025-01-01T14:00,51.2,43.8,0.0,0.0,0.0,0.0,3,Overcast,12.1,27.3,67,
2025-01-01T15:00,47.1,38.4,0.0,0.0,0.0,0.0,3,Overcast,14.1,32.0,71,
2025-01-01T16:00,43.7,34.2,0.0,0.0,0.0,0.0,2,Partly cloudy,14.4,34.4,70,
2025-01-01T17:00,42.2,32.8,0.004,0.004,0.0,0.0,51,Light drizzle,13.7,35.3,71,
2025-01-01T18:00,41.2,32.0,0.004,0.004,0.0,0.0,51,Light drizzle,12.8,31.3,71,
2025-01-01T19:00,40.6,31.2,0.0,0.0,0.0,0.0,0,Clear sky,12.7,28.9,67,
2025-01-01T20:00,40.2,30.5,0.0,0.0,0.0,0.0,0,Clear sky,12.7,28.9,63,
2025-01-01T21:00,41.1,31.1,0.0,0.0,0.0,0.0,0,Clear sky,13.1,29.3,58,
2025-01-01T22:00,40.0,29.6,0.0,0.0,0.0,0.0,0,Clear sky,13.2,30.0,54,
2025-01-01T23:00,38.8,28.7,0.0,0.0,0.0,0.0,0,Clear sky,12.2,29.8,53,
